target_rps,throughput_rps,duration_s,requests,success,failed,error_pct,p50_ms,p95_ms,p99_ms,max_ms
1,0.96,30.3,29,29,0,0.00,1269.6,1323.6,1393.1,1393.1
2,1.91,30.8,59,59,0,0.00,1272.4,1321.5,1356.0,1356.0
3,2.88,30.9,89,89,0,0.00,1253.8,1278.0,1299.3,1299.3
